ID_REF	GSM878100	GSM878101	GSM878102	GSM878103	GSM878104	GSM878105	GSM878106	GSM878107	GSM878108
226353_at	6456.9	4876.5	6522.9	8243.9	6341.9	5162.2	6814.7	4047.2	5795.1
226354_at	3875.7	6068.5	3945.1	5080.4	5215.5	3466.8	4227	4860.3	4030
226355_at	317.7	569.8	387	299	56.7	407.4	267.5	137.1	406.8
226356_at	533.7	505.9	657.9	565.7	382.5	130	207.5	540.9	379.8
226357_at	1950.9	1412.7	1554.8	1941.6	1988.1	1436.5	1387.8	1731.6	1674
226358_at	1250.2	916.9	987.9	910.3	746.8	121.6	912.2	684.9	744
226359_at	22.1	107.8	8.6	16.2	402.7	112.8	291.2	282.7	189
226360_at	1033.5	769	685.9	756.5	807.1	668	585.6	972.5	878.7
226361_at	2439.4	2572.8	1971.1	2380	2796.9	2907.5	2392	2984.7	2488.3
226362_at	809	379.6	423.8	403.5	272.5	150.6	452.7	360.7	284.3
226363_at	306.6	328.2	408.4	702	191.3	637.2	152.4	288.9	392.1
226364_at	2867.4	4455	3117.6	2138.7	2195.3	2005	2222.4	2346.9	3236.1
226365_at	928.5	671.4	673.8	461.1	156.4	307.2	310.9	485.4	343.1
226366_at	1571.7	1609.7	1429.6	1612.6	970.3	767.1	673.2	958.5	1002.1
226367_at	154.5	203.7	74.9	102.7	162.6	61.8	16.4	25.2	45.6
226368_at	649.6	783.2	1028.7	891.2	775.4	721.9	928.8	539.8	889.9
226369_at	434.4	425.2	552.9	366.8	1098.4	994.4	715.7	983.6	641.2
226370_at	1096.4	1098.2	1247.1	1487.9	1000	710.1	674.1	1030.1	1054.1
226371_at	1470	944.2	1097.1	1259.1	1335.8	1011.4	1040.9	1055.5	1321.6
226372_at	819.9	1071.7	1136.8	807.1	1761.8	1409.2	1587.3	1203.2	1558.2
