geneNames	GSM878095	GSM878096	GSM878097	GSM878098	GSM878099	GSM878104	GSM878105	GSM878106	GSM878107	GSM878108
PIGV	957.1	936.95	1179.35	1738.65	1427.7	1418.8	1460.65	1100.65	1837.55	1179.45
PIGW	403.2	526.3	498.5	357.8	653.6	448.8	295.5	349.9	429.3	396.7
PIGX	917.933333333333	873.933333333333	974.9	867.533333333333	914.933333333333	882.366666666667	802.366666666667	917.766666666667	839.6	780.233333333333
PIGZ	613.1	564	482.8	561.3	518	596.3	388.4	437.5	384	349.2
PIH1D1	4253.2	4197.9	4041.8	4358.2	4017.2	6269.7	6250.2	4538.9	4222.5	4549.4
PIH1D2	153.2	142.8	142.7	82	81.9	135.1	255.8	137.9	51	63.5
PIH1D3	9.4	13	12.5	5.7	17.5	10.8	99.7	102.4	16.8	16.7
PIH2	41.35	16.7	32.1	63.5	33.05	40.1	155.2	83.3	70.05	19.1
PIK3AP1	79.85	127.15	13	17.8	51.85	17	107.7	83	123.85	35.1
PIK3C2A	2390.68571428571	1916.92857142857	1929.32857142857	1804.4	2198.65714285714	1989.68571428571	1422.34285714286	1787.9	2006.78571428571	1966.85714285714
PIK3C2B	35.6	84.7	324.5	70	40	38.3	250.8	81.6	55.8	32.2
PIK3C2G	8.9	7.5	104.6	2.1	78.5	23.5	281.4	41.6	144.2	36.5
