geneNames	GSM878095	GSM878096	GSM878097	GSM878098	GSM878099	GSM878100	GSM878101	GSM878102	GSM878103	GSM878104	GSM878105	GSM878106	GSM878107	GSM878108
CALHM3	30.6	30.9	23.1	9.6	21	19.8	11	21.8	18.3	24	103.3	11.4	24.4	9.4
CALM1	1386.8	667.7	1074.4	787.8	877.1	653.1	672.2	663.2	906.2	946.4	982.7	1611.8	1390	1378.6
CALML3	127.1	179.8	195.45	141.65	120.55	113.95	98.25	133.8	117.8	167.3	381.6	138.55	232.25	179.3
CALML4	168.58	66.34	128.56	124.24	116.92	97.26	123.64	130.38	114.42	109.54	188.34	105.88	131.66	87.2
CALML5	29.9	114.1	100.7	116.6	18.8	73.1	79	150.5	78.6	45.1	92.1	96	158.9	110.2
CALML6	8.7	21.9	15.8	5.8	7.2	135.7	13.5	56.5	153.7	41	92	146.9	15.3	24.3
CALN1	75.8666666666667	73.8	79.8666666666667	35.1333333333333	45.3	56.8	37.8666666666667	58.7	44.4	60.8333333333333	106.433333333333	14.9666666666667	121.433333333333	78
CALR	2773.53333333333	8244.3	1930.7	1193.16666666667	2685.3	4937.6	4937	6314.63333333333	6069.6	6690.86666666667	7046.4	10500.3666666667	10047.5666666667	6399.83333333333
CALR3	22.2	13.4	21.1	16.1	73.4	13	13.9	10.6	7.4	136.4	58.9	15.7	17.7	13.8
CALU	22925.22	23704.96	23699.6	16747.66	25389.5	13643.5	14353.78	17174.42	15304.94	19023.04	20842.7	27033.14	25993.86	24946
CALY	125.9	17.2	13.8	13.5	13.8	56.1	11.6	6.4	3.8	83.2	121.2	11.3	146.3	55.9
CAMK1	800.9	1220.1	609.5	590.5	530.8	614.3	541.4	618.4	707.9	1136.7	708.3	1549.9	1038.1	942.7
CAMK1D	551.1	922.35	490.15	642.5	190.35	761.95	320.55	666.4	425.55	698.95	651.1	333.05	318	460.8
CAMK1G	84.05	146.4	83.9	66.8	89.15	72.65	64.45	52.3	70.9	140.6	148.6	121.65	121.15	152.7
CAMK2A	23.35	18.8	16.4	46.3	14.8	87.8	23.15	21.75	15.15	62.45	371.2	32.25	36.1	148.7
CAMK2B	143.16	223.8	116.76	106.22	127.8	146.94	114.92	127.88	117.9	202.68	440.92	204.76	267.58	213.2
CAMK2D	6064.1	5646.78	5801.92	7382.4	4575.16	6950.74	4925.24	6134.98	5019.8	4405.06	6976.22	7235.24	5970.1	5901.96
CAMK2G	963.625	835.6	764.675	849.775	846.1	530.625	579.275	554.75	563.3	1085.125	1127.2	1031.875	1051.65	1066.55
CAMK2N1	1866.4	948.366666666667	1060.56666666667	1741.36666666667	501.533333333333	908.1	1401.8	668.266666666667	378.733333333333	586.5	698.6	648.066666666667	562.366666666667	904.166666666667
CAMK2N2	275.35	317.8	203.35	161.5	262.8	244.4	288.5	229.95	207.6	408.65	315.75	325.15	468.85	360.8
CAMK4	75.8333333333333	114.4	19.9	39.9666666666667	70.5	103.233333333333	37.4333333333333	89.6333333333333	82.4	82.2	296.133333333333	93.7333333333333	53.5333333333333	93
CAMKK1	258.05	254.9	131.75	276.8	105.45	352	245.6	370.8	238.6	297.35	554.3	217.2	537.2	276.65
CAMKK2	2589.5	2564.175	1993.6	1794.575	1184.675	3393.85	1902.475	2784.55	2480.85	3387.275	2165.275	2078.7	2566.675	2716.175
CAMKMT	252.55	119.3	273.35	261.7	285.75	90.6	186.4	69.85	253.95	218.65	88.15	144.05	206.8	430.95
CAMKV	165.8	188.9	87.7	99.9	95.9	120.9	130.7	24.5	41	223.3	808.8	151.1	267.3	187.7
CAMLG	8489.8	5514.4	7839.1	6946.3	5514.4	13043.7	8838.4	9025.6	8054.4	7699.5	8790.9	5789.1	10363.2	7453.8
CAMP	44.5	32.8	29.9	40.1	53.4	182.2	78.7	106.7	25.5	42.5	327.8	134.2	62.5	114.5
